Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(EUR),Min(pips),Min(EUR),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(EUR)
04/09/2025 04:51,04/09/2025 04:54,XAUUSD,Sell,1.820,0.00000,0.00000,3005.57000,3005.21000,-9.1000,0.0000,36.0,50.35,0.12,00:00:03:12,,,,,,,,,,,,
04/09/2025 04:48,04/09/2025 04:54,XAUUSD,Sell,1.820,0.00000,0.00000,3004.09000,3005.22000,-9.1000,0.0000,-113.0,-195.73,-0.47,00:00:06:12,,,,,,,,,,,,
04/09/2025 04:53,04/09/2025 04:54,XAUUSD,Sell,1.820,0.00000,0.00000,3007.53000,3005.18000,-9.1000,0.0000,235.0,378.98,0.92,00:00:01:11,,,,,,,,,,,,
04/09/2025 04:52,04/09/2025 04:54,XAUUSD,Sell,1.820,0.00000,0.00000,3005.88000,3005.19000,-9.1000,0.0000,69.0,104.85,0.26,00:00:02:11,,,,,,,,,,,,
04/03/2025 08:33,04/03/2025 08:34,XAUUSD,Buy,1.820,0.00000,0.00000,3126.69000,3127.59000,-9.1000,0.0000,90.0,140.53,0.34,00:00:01:00,,,,,,,,,,,,
04/02/2025 04:15,04/02/2025 04:16,XAUUSD,Sell,1.820,0.00000,0.00000,3132.47000,3131.68000,-9.1000,0.0000,79.0,124.15,0.30,00:00:01:27,,,,,,,,,,,,
04/02/2025 04:13,04/02/2025 04:16,XAUUSD,Sell,1.820,0.00000,0.00000,3132.09000,3131.68000,-9.1000,0.0000,41.0,60.06,0.15,00:00:03:27,,,,,,,,,,,,
04/02/2025 04:16,04/02/2025 04:16,XAUUSD,Sell,1.820,0.00000,0.00000,3132.75000,3131.68000,-9.1000,0.0000,107.0,171.38,0.42,00:00:00:26,,,,,,,,,,,,
03/31/2025 05:23,03/31/2025 05:23,XAUUSD,Sell,1.820,0.00000,0.00000,3105.92000,3102.45000,-9.1000,0.0000,347.0,573.57,1.43,00:00:00:58,,,,,,,,,,,,
03/31/2025 05:22,03/31/2025 05:23,XAUUSD,Sell,1.820,0.00000,0.00000,3101.59000,3102.46000,-9.1000,0.0000,-87.0,-155.20,-0.39,00:00:01:58,,,,,,,,,,,,
03/27/2025 13:17,03/27/2025 13:20,XAUUSD,Sell,1.820,0.00000,0.00000,3049.47000,3047.96000,-9.1000,0.0000,151.0,246.10,0.62,00:00:03:58,,,,,,,,,,,,
03/27/2025 13:16,03/27/2025 13:20,XAUUSD,Sell,1.820,0.00000,0.00000,3047.10000,3047.95000,-9.1000,0.0000,-85.0,-152.78,-0.38,00:00:04:58,,,,,,,,,,,,
03/27/2025 13:13,03/27/2025 13:20,XAUUSD,Sell,1.820,0.00000,0.00000,3046.47000,3047.95000,-9.1000,0.0000,-148.0,-259.27,-0.64,00:00:07:58,,,,,,,,,,,,
